user_id,full_name,email,location,years_experience,created_at
1,Female Employee 1,emp1@careerplatform.com,"New York, US",8,2024-01-15 09:00:00
2,Male Employee 2,emp2@careerplatform.com,"San Francisco, US",10,2024-01-15 09:00:00
3,Male Employee 4,emp4@careerplatform.com,"San Francisco, US",7,2024-01-15 09:00:00
4,Female Employee 5,emp5@careerplatform.com,"San Francisco, US",8,2024-01-15 09:00:00
5,Male Employee 7,emp7@careerplatform.com,"San Francisco, US",6,2024-01-15 09:00:00
6,Male Employee 8,emp8@careerplatform.com,"San Francisco, US",8,2024-01-15 09:00:00
7,Female Employee 10,emp10@careerplatform.com,"San Francisco, US",12,2024-01-15 09:00:00
8,Male Employee 11,emp11@careerplatform.com,"San Francisco, US",1,2024-01-15 09:00:00
9,Male Employee 12,emp12@careerplatform.com,"San Francisco, US",10,2024-01-15 09:00:00
10,Male Employee 13,emp13@careerplatform.com,"San Francisco, US",17,2024-01-15 09:00:00
11,Male Employee 14,emp14@careerplatform.com,"San Francisco, US",6,2024-01-15 09:00:00
12,Female Employee 15,emp15@careerplatform.com,"San Francisco, US",10,2024-01-15 09:00:00
13,Male Employee 16,emp16@careerplatform.com,"San Francisco, US",5,2024-01-15 09:00:00
14,Male Employee 18,emp18@careerplatform.com,"San Francisco, US",3,2024-01-15 09:00:00
15,Male Employee 19,emp19@careerplatform.com,"San Francisco, US",6,2024-01-15 09:00:00
16,Female Employee 20,emp20@careerplatform.com,"San Francisco, US",10,2024-01-15 09:00:00
17,Male Employee 21,emp21@careerplatform.com,"San Francisco, US",7,2024-01-15 09:00:00
18,Male Employee 22,emp22@careerplatform.com,"San Francisco, US",1,2024-01-15 09:00:00
19,Female Employee 23,emp23@careerplatform.com,"New York, US",31,2024-01-15 09:00:00
20,Male Employee 24,emp24@careerplatform.com,"San Francisco, US",6,2024-01-15 09:00:00
21,Female Employee 26,emp26@careerplatform.com,"San Francisco, US",5,2024-01-15 09:00:00
22,Male Employee 27,emp27@careerplatform.com,"New York, US",10,2024-01-15 09:00:00
23,Female Employee 28,emp28@careerplatform.com,"San Francisco, US",13,2024-01-15 09:00:00
24,Male Employee 30,emp30@careerplatform.com,"San Francisco, US",0,2024-01-15 09:00:00
25,Male Employee 31,emp31@careerplatform.com,"San Francisco, US",8,2024-01-15 09:00:00
26,Female Employee 32,emp32@careerplatform.com,"San Francisco, US",26,2024-01-15 09:00:00
27,Female Employee 33,emp33@careerplatform.com,"San Francisco, US",10,2024-01-15 09:00:00
28,Male Employee 35,emp35@careerplatform.com,"New York, US",10,2024-01-15 09:00:00
